name,x,y,cluster
p1745,0.478,0.789,1
p2280,0.609,0.747,1
p2363,0.533,0.873,1
p2408,0.445,0.855,1
p1785,0.433,0.879,1
p2304,0.592,0.805,1
p2305,0.583,0.802,1
p1776,0.454,0.852,1
p2356,0.561,0.866,1
p2367,0.502,0.854,1
p1070,0.528,0.828,1
p1105,0.518,0.783,1
p950,0.449,0.88,1
p1722,0.515,0.814,1
p1774,0.469,0.867,1
p1029,0.504,0.81,1
p2371,0.539,0.82,1
p2370,0.509,0.871,1
p1668,0.548,0.762,1
p2388,0.482,0.875,1
p958,0.437,0.861,1
p1143,0.552,0.769,1
p1760,0.453,0.836,1
p2337,0.577,0.833,1
p1667,0.552,0.785,1
p1081,0.524,0.798,1
p2366,0.512,0.866,1
p2327,0.598,0.82,1
p2392,0.477,0.888,1
p2346,0.557,0.842,1
p1127,0.544,0.768,1
p995,0.492,0.824,1
p1181,0.581,0.752,1
p2364,0.538,0.834,1
p924,0.431,0.877,1
p1736,0.519,0.817,1
p962,0.452,0.83,1
p1721,0.52,0.826,1
p969,0.448,0.863,1
p985,0.48,0.89,1
p1006,0.493,0.823,1
p1755,0.461,0.807,1
p2378,0.506,0.858,1
p2407,0.433,0.882,1
p1015,0.498,0.828,1
p1137,0.57,0.761,1
p917,0.43,0.893,1
p1172,0.576,0.767,1
p1109,0.543,0.785,1
p929,0.423,0.845,1
p2362,0.542,0.837,1
p936,0.436,0.855,1
p966,0.435,0.892,1
p1038,0.515,0.868,1
p1095,0.574,0.794,1
p2322,0.564,0.833,1
p1075,0.548,0.772,1
p1766,0.464,0.853,1
p1827,0.425,0.848,1
p963,0.473,0.88,1
p2339,0.557,0.808,1
p1122,0.548,0.803,1
p1699,0.538,0.81,1
p2311,0.574,0.836,1
p967,0.441,0.881,1
p1679,0.575,0.745,1
p1796,0.424,0.881,1
p2383,0.487,0.887,1
p921,0.442,0.871,1
p991,0.467,0.842,1
p1013,0.511,0.845,1
p1676,0.547,0.766,1
p1040,0.491,0.816,1
p2410,0.418,0.864,1
p961,0.468,0.827,1
p1007,0.494,0.852,1
p1073,0.525,0.8,1
p1068,0.488,0.786,1
p2276,0.591,0.744,1
p981,0.481,0.866,1
p1663,0.572,0.749,1
p2394,0.474,0.848,1
p994,0.457,0.855,1
p1657,0.569,0.734,1
p1688,0.559,0.753,1
p1123,0.526,0.749,1
p1212,0.573,0.751,1
p1804,0.426,0.852,1
p2393,0.472,0.892,1
p1701,0.533,0.795,1
p2419,0.426,0.872,1
p1782,0.46,0.874,1
p1687,0.554,0.794,1
p984,0.476,0.862,1
p1692,0.563,0.77,1
p1717,0.508,0.817,1
p1034,0.504,0.846,1
p949,0.459,0.864,1
p1788,0.451,0.848,1
p2355,0.517,0.875,1
p1072,0.533,0.827,1
p1757,0.471,0.865,1
p972,0.479,0.875,1
p922,0.42,0.868,1
p1179,0.577,0.757,1
p993,0.492,0.844,1
p1784,0.443,0.84,1
p1674,0.576,0.77,1
p1677,0.568,0.763,1
p1683,0.546,0.773,1
p1752,0.496,0.846,1
p979,0.452,0.86,1
p1789,0.443,0.85,1
p2306,0.59,0.762,1
p1720,0.509,0.834,1
p1713,0.546,0.792,1
p1155,0.568,0.734,1
p1744,0.504,0.822,1
p1080,0.528,0.81,1
p2325,0.595,0.795,1
p2353,0.549,0.868,1
p1067,0.512,0.81,1
p1223,0.578,0.757,1
p946,0.451,0.85,1
p2374,0.47,0.877,1
p1661,0.558,0.751,1
p1011,0.471,0.811,1
p2351,0.556,0.827,1
p1017,0.486,0.867,1
p2404,0.438,0.88,1
p1147,0.56,0.767,1
p1140,0.572,0.789,1
p2331,0.573,0.821,1
p1085,0.529,0.815,1
p934,0.454,0.847,1
p1018,0.491,0.844,1
p1176,0.55,0.73,1
p927,0.43,0.846,1
p1061,0.517,0.813,1
p971,0.442,0.853,1
p1108,0.533,0.781,1
p2294,0.592,0.78,1
p1049,0.517,0.834,1
p1163,0.563,0.753,1
p1191,0.572,0.74,1
p1004,0.494,0.853,1
p2347,0.555,0.823,1
p947,0.462,0.844,1
p1697,0.533,0.793,1
p1159,0.551,0.774,1
p1680,0.553,0.757,1
p1022,0.53,0.86,1
p1037,0.499,0.867,1
p1183,0.563,0.734,1
p996,0.485,0.838,1
p1149,0.547,0.775,1
p1770,0.472,0.871,1
p2391,0.481,0.911,1
p1792,0.431,0.881,1
p1198,0.586,0.742,1
p1703,0.531,0.819,1
p1062,0.518,0.807,1
p2341,0.55,0.82,1
p1708,0.522,0.839,1
p1743,0.477,0.844,1
p1134,0.569,0.746,1
p1731,0.497,0.828,1
p1032,0.531,0.838,1
p1832,0.418,0.851,1
p1728,0.503,0.843,1
p1012,0.49,0.839,1
p960,0.428,0.861,1
p1131,0.541,0.725,1
p2417,0.428,0.891,1
p1750,0.482,0.829,1
p1106,0.551,0.79,1
p943,0.449,0.878,1
p1637,0.597,0.743,1
p1826,0.415,0.824,1
p2314,0.569,0.784,1
p1076,0.541,0.794,1
p2324,0.586,0.792,1
p1812,0.44,0.847,1
p1716,0.529,0.828,1
p1071,0.535,0.84,1
p2385,0.471,0.849,1
p2329,0.568,0.794,1
p1194,0.56,0.759,1
p992,0.467,0.843,1
p1206,0.574,0.743,1
p1654,0.558,0.757,1
p1685,0.565,0.79,1
p2365,0.542,0.841,1
p2357,0.534,0.821,1
p2318,0.592,0.824,1
p955,0.442,0.878,1
p2409,0.427,0.865,1
p948,0.464,0.86,1
p1221,0.588,0.754,1
p2290,0.598,0.776,1
p902,0.429,0.858,1
p1729,0.51,0.84,1
p1192,0.58,0.739,1
p1152,0.576,0.753,1
p1033,0.511,0.831,1
p2319,0.568,0.819,1
p1711,0.518,0.836,1
p923,0.442,0.866,1
p1114,0.529,0.76,1
p1806,0.429,0.84,1
p1700,0.564,0.766,1
p1138,0.582,0.787,1
p952,0.462,0.861,1
p1165,0.553,0.755,1
p1193,0.571,0.741,1
p2345,0.549,0.858,1
p1069,0.508,0.82,1
p1104,0.529,0.76,1
p1778,0.45,0.867,1
p1658,0.545,0.748,1
p1739,0.502,0.826,1
p2334,0.57,0.812,1
p930,0.43,0.878,1
p1670,0.558,0.762,1
p1712,0.515,0.803,1
p2309,0.595,0.822,1
p1088,0.552,0.763,1
p2293,0.593,0.746,1
p1042,0.507,0.852,1
p2298,0.598,0.771,1
p1655,0.58,0.735,1
p2352,0.552,0.856,1
p2299,0.614,0.787,1
p1695,0.562,0.792,1
p1718,0.512,0.841,1
p1772,0.465,0.863,1
p956,0.468,0.872,1
p2349,0.533,0.832,1
p2399,0.453,0.894,1
p1119,0.53,0.774,1
p1200,0.573,0.734,1
p1144,0.562,0.747,1
p2377,0.517,0.893,1
p944,0.468,0.878,1
p2387,0.479,0.856,1
p940,0.456,0.85,1
p1681,0.561,0.766,1
p1723,0.542,0.82,1
p1646,0.557,0.732,1
p1733,0.509,0.809,1
p1112,0.568,0.807,1
p1682,0.562,0.796,1
p1737,0.522,0.842,1
p2354,0.542,0.866,1
p1742,0.498,0.834,1
p942,0.449,0.877,1
p1777,0.442,0.831,1
p977,0.481,0.842,1
p2380,0.499,0.876,1
p1008,0.524,0.856,1
p1009,0.485,0.85,1
p937,0.451,0.819,1
p1097,0.556,0.772,1
p1735,0.518,0.833,1
p1675,0.56,0.79,1
p1036,0.492,0.838,1
p1117,0.54,0.806,1
p2310,0.584,0.793,1
p2368,0.507,0.85,1
p2375,0.498,0.861,1
p2253,0.608,0.75,1
p1035,0.505,0.844,1
p990,0.461,0.872,1
p2316,0.581,0.805,1
p931,0.429,0.848,1
p1047,0.532,0.813,1
p2342,0.558,0.821,1
p1769,0.473,0.856,1
p1173,0.581,0.767,1
p1128,0.541,0.766,1
p2326,0.571,0.804,1
p913,0.428,0.849,1
p2343,0.559,0.844,1
p1177,0.567,0.754,1
p1635,0.598,0.754,1
p2308,0.605,0.801,1
p957,0.452,0.866,1
p1810,0.442,0.876,1
p1129,0.567,0.761,1
p904,0.418,0.857,1
p1684,0.554,0.776,1
p2382,0.47,0.867,1
p1021,0.495,0.84,1
p1024,0.491,0.853,1
p1161,0.583,0.766,1
p968,0.459,0.891,1
p2403,0.45,0.845,1
p1197,0.577,0.742,1
p1089,0.529,0.78,1
p1694,0.551,0.786,1
p1815,0.421,0.869,1
p1132,0.577,0.771,1
p1702,0.528,0.798,1
p1039,0.488,0.843,1
p1808,0.417,0.839,1
p22,0.239,0.559,2
p19,0.233,0.562,2
p391,0.228,0.723,2
p425,0.246,0.721,2
p47,0.223,0.573,2
p2063,0.244,0.71,2
p29,0.244,0.584,2
p208,0.218,0.602,2
p314,0.182,0.62,2
p2078,0.233,0.687,2
p237,0.222,0.637,2
p332,0.223,0.648,2
p202,0.23,0.571,2
p17,0.223,0.528,2
p483,0.252,0.736,2
p313,0.219,0.638,2
p171,0.252,0.608,2
p102,0.234,0.568,2
p2034,0.237,0.737,2
p126,0.227,0.6,2
p2141,0.224,0.555,2
p266,0.215,0.642,2
p151,0.23,0.565,2
p229,0.223,0.585,2
p2156,0.199,0.582,2
p2150,0.246,0.548,2
p379,0.239,0.701,2
p55,0.236,0.551,2
p48,0.225,0.552,2
p50,0.208,0.594,2
p13,0.241,0.551,2
p250,0.194,0.595,2
p167,0.237,0.598,2
p471,0.229,0.744,2
p238,0.21,0.648,2
p251,0.223,0.594,2
p149,0.239,0.625,2
p403,0.226,0.662,2
p398,0.211,0.679,2
p2069,0.225,0.707,2
p216,0.218,0.61,2
p200,0.211,0.594,2
p180,0.216,0.572,2
p109,0.239,0.55,2
p169,0.222,0.591,2
p2115,0.226,0.604,2
p196,0.22,0.628,2
p2097,0.253,0.644,2
p2147,0.2,0.586,2
p438,0.237,0.74,2
p2083,0.255,0.701,2
p72,0.237,0.574,2
p363,0.25,0.659,2
p259,0.206,0.577,2
p376,0.225,0.703,2
p262,0.215,0.629,2
p334,0.206,0.671,2
p432,0.24,0.731,2
p2059,0.244,0.702,2
p16,0.24,0.545,2
p153,0.215,0.606,2
p342,0.211,0.69,2
p412,0.228,0.705,2
p12,0.212,0.567,2
p158,0.229,0.579,2
p187,0.218,0.59,2
p265,0.219,0.635,2
p25,0.22,0.539,2
p2066,0.258,0.696,2
p426,0.243,0.724,2
p2013,0.246,0.733,2
p239,0.218,0.597,2
p245,0.223,0.607,2
p392,0.206,0.691,2
p209,0.226,0.553,2
p104,0.228,0.559,2
p2158,0.251,0.548,2
p269,0.239,0.625,2
p110,0.23,0.579,2
p272,0.221,0.605,2
p248,0.245,0.637,2
p2135,0.228,0.586,2
p194,0.21,0.57,2
p119,0.218,0.561,2
p288,0.207,0.627,2
p2110,0.208,0.602,2
p355,0.227,0.677,2
p105,0.215,0.545,2
p302,0.207,0.655,2
p2107,0.237,0.647,2
p317,0.196,0.654,2
p63,0.237,0.552,2
p2125,0.234,0.628,2
p20,0.19,0.546,2
p66,0.246,0.543,2
p331,0.202,0.637,2
p2075,0.238,0.719,2
p365,0.219,0.728,2
p177,0.22,0.585,2
p156,0.236,0.596,2
p179,0.21,0.621,2
p203,0.259,0.627,2
p2074,0.221,0.697,2
p98,0.207,0.523,2
p46,0.214,0.565,2
p197,0.225,0.598,2
p295,0.22,0.639,2
p8,0.225,0.538,2
p84,0.214,0.548,2
p132,0.245,0.568,2
p470,0.241,0.742,2
p2143,0.221,0.594,2
p154,0.217,0.613,2
p2082,0.25,0.688,2
p106,0.244,0.573,2
p434,0.214,0.727,2
p2093,0.204,0.663,2
p279,0.214,0.605,2
p155,0.234,0.591,2
p136,0.224,0.593,2
p368,0.211,0.692,2
p124,0.256,0.553,2
p40,0.223,0.552,2
p2142,0.206,0.568,2
p411,0.214,0.698,2
p394,0.209,0.713,2
p339,0.211,0.672,2
p290,0.222,0.644,2
p296,0.2,0.663,2
p2126,0.215,0.602,2
p396,0.213,0.702,2
p254,0.22,0.625,2
p121,0.231,0.607,2
p90,0.235,0.549,2
p300,0.227,0.661,2
p457,0.217,0.744,2
p318,0.217,0.687,2
p364,0.227,0.668,2
p2101,0.226,0.665,2
p338,0.219,0.673,2
p2070,0.237,0.717,2
p345,0.199,0.683,2
p2052,0.239,0.72,2
p26,0.233,0.548,2
p420,0.258,0.707,2
p2133,0.215,0.583,2
p68,0.232,0.571,2
p2,0.216,0.528,2
p2109,0.218,0.64,2
p166,0.214,0.598,2
p2088,0.214,0.676,2
p2080,0.217,0.699,2
p235,0.188,0.631,2
p2067,0.228,0.707,2
p362,0.211,0.667,2
p267,0.199,0.635,2
p373,0.209,0.711,2
p18,0.222,0.527,2
p400,0.243,0.733,2
p297,0.211,0.641,2
p2113,0.24,0.642,2
p2064,0.25,0.704,2
p2096,0.236,0.637,2
p144,0.244,0.588,2
p2103,0.218,0.663,2
p289,0.237,0.643,2
p2134,0.222,0.591,2
p476,0.233,0.722,2
p2050,0.249,0.729,2
p2086,0.215,0.65,2
p61,0.226,0.539,2
p59,0.22,0.562,2
p52,0.212,0.547,2
p170,0.226,0.59,2
p2124,0.23,0.592,2
p94,0.226,0.537,2
p287,0.221,0.609,2
p283,0.226,0.651,2
p58,0.235,0.546,2
p325,0.211,0.697,2
p352,0.215,0.68,2
p2062,0.213,0.714,2
p115,0.224,0.56,2
p225,0.243,0.627,2
p383,0.196,0.686,2
p75,0.244,0.551,2
p2095,0.217,0.63,2
p210,0.211,0.622,2
p146,0.24,0.576,2
p430,0.239,0.732,2
p448,0.217,0.71,2
p2149,0.217,0.565,2
p128,0.236,0.607,2
p114,0.251,0.578,2
p308,0.219,0.664,2
p310,0.183,0.657,2
p30,0.236,0.558,2
p358,0.243,0.702,2
p390,0.235,0.689,2
p385,0.225,0.7,2
p315,0.202,0.661,2
p2056,0.224,0.727,2
p247,0.219,0.606,2
p320,0.254,0.668,2
p77,0.239,0.563,2
p401,0.221,0.714,2
p371,0.227,0.676,2
p89,0.228,0.563,2
p176,0.226,0.598,2
p37,0.232,0.534,2
p443,0.228,0.746,2
p2154,0.234,0.538,2
p407,0.219,0.709,2
p333,0.219,0.674,2
p415,0.218,0.703,2
p2162,0.207,0.534,2
p164,0.216,0.577,2
p21,0.209,0.558,2
p113,0.224,0.574,2
p414,0.221,0.747,2
p2114,0.208,0.622,2
p213,0.237,0.626,2
p2160,0.193,0.568,2
p28,0.212,0.564,2
p255,0.236,0.599,2
p277,0.215,0.621,2
p366,0.224,0.693,2
p143,0.222,0.568,2
p408,0.267,0.684,2
p350,0.218,0.683,2
p402,0.229,0.698,2
p125,0.245,0.576,2
p381,0.221,0.73,2
p2090,0.244,0.685,2
p141,0.223,0.553,2
p219,0.24,0.609,2
p306,0.213,0.651,2
p453,0.225,0.727,2
p217,0.244,0.592,2
p441,0.25,0.738,2
p131,0.215,0.557,2
p83,0.228,0.576,2
p215,0.215,0.614,2
p2116,0.221,0.658,2
p2127,0.228,0.62,2
p268,0.216,0.617,2
p173,0.228,0.606,2
p234,0.209,0.611,2
p70,0.213,0.566,2
p305,0.231,0.65,2
p2128,0.262,0.563,2
p324,0.206,0.689,2
p370,0.219,0.694,2
p388,0.209,0.734,2
p43,0.214,0.517,2
p99,0.233,0.576,2
p236,0.231,0.582,2
p163,0.231,0.591,2
p367,0.22,0.675,2
p38,0.226,0.527,2
p2105,0.208,0.622,2
p253,0.233,0.612,2
p2081,0.225,0.657,2
p74,0.227,0.573,2
p335,0.229,0.649,2
p2131,0.227,0.578,2
p2152,0.216,0.526,2
p321,0.221,0.657,2
p291,0.213,0.628,2
p2054,0.228,0.746,2
p465,0.234,0.741,2
p190,0.236,0.582,2
p351,0.192,0.677,2
p326,0.2,0.665,2
p378,0.22,0.691,2
p62,0.211,0.582,2
p232,0.222,0.62,2
p2047,0.237,0.73,2
p31,0.229,0.532,2
p2092,0.244,0.68,2
p2153,0.226,0.551,2
p2157,0.199,0.552,2
p389,0.238,0.694,2
p341,0.195,0.666,2
p293,0.223,0.661,2
p372,0.24,0.724,2
p340,0.221,0.654,2
p205,0.208,0.625,2
p2122,0.215,0.58,2
p93,0.248,0.567,2
p111,0.244,0.6,2
p185,0.223,0.581,2
p204,0.247,0.595,2
p165,0.227,0.636,2
p181,0.22,0.589,2
p118,0.208,0.589,2
p186,0.209,0.575,2
p347,0.204,0.661,2
p2112,0.198,0.638,2
p188,0.252,0.623,2
p2077,0.241,0.707,2
p76,0.232,0.555,2
p73,0.218,0.523,2
p354,0.209,0.698,2
p356,0.241,0.695,2
p241,0.211,0.613,2
p382,0.222,0.703,2
p214,0.213,0.609,2
p369,0.23,0.685,2
p2151,0.23,0.493,2
p2111,0.202,0.666,2
p2159,0.214,0.561,2
p2108,0.224,0.623,2
p159,0.236,0.594,2
p10,0.219,0.582,2
p349,0.222,0.71,2
p2094,0.222,0.679,2
p23,0.24,0.54,2
p36,0.234,0.559,2
p39,0.199,0.59,2
p2091,0.251,0.658,2
p416,0.251,0.691,2
p2140,0.201,0.55,2
p96,0.223,0.534,2
p249,0.212,0.629,2
p199,0.211,0.603,2
p152,0.227,0.615,2
p127,0.237,0.559,2
p54,0.211,0.545,2
p184,0.213,0.608,2
p301,0.206,0.606,2
p34,0.244,0.54,2
p261,0.207,0.604,2
p178,0.23,0.589,2
p328,0.239,0.644,2
p134,0.213,0.579,2
p182,0.237,0.597,2
p316,0.224,0.624,2
p88,0.216,0.544,2
p2071,0.236,0.699,2
p92,0.203,0.575,2
p360,0.223,0.677,2
p129,0.245,0.586,2
p168,0.238,0.619,2
p42,0.241,0.537,2
p80,0.253,0.56,2
p298,0.231,0.607,2
p56,0.229,0.568,2
p2084,0.258,0.69,2
p27,0.221,0.558,2
p69,0.227,0.545,2
p337,0.232,0.653,2
p122,0.203,0.562,2
p78,0.234,0.575,2
p3,0.221,0.552,2
p275,0.225,0.635,2
p2057,0.244,0.734,2
p33,0.238,0.551,2
p183,0.238,0.555,2
p220,0.216,0.613,2
p322,0.232,0.66,2
p2073,0.242,0.712,2
p323,0.23,0.672,2
p284,0.255,0.637,2
p264,0.198,0.605,2
p303,0.201,0.648,2
p227,0.217,0.639,2
p15,0.232,0.524,2
p2053,0.238,0.689,2
p189,0.221,0.647,2
p252,0.209,0.645,2
p395,0.228,0.689,2
p424,0.257,0.728,2
p2044,0.251,0.738,2
p222,0.224,0.64,2
p276,0.197,0.583,2
p405,0.233,0.74,2
p348,0.227,0.664,2
p2085,0.235,0.649,2
p327,0.221,0.659,2
p107,0.225,0.572,2
p386,0.209,0.719,2
p357,0.206,0.682,2
p286,0.232,0.616,2
p384,0.231,0.709,2
p101,0.221,0.556,2
p2087,0.242,0.689,2
p2137,0.213,0.553,2
p2038,0.237,0.739,2
p244,0.221,0.619,2
p2072,0.228,0.686,2
p65,0.226,0.562,2
p41,0.226,0.525,2
p304,0.226,0.642,2
p150,0.219,0.622,2
p399,0.243,0.71,2
p417,0.212,0.746,2
p294,0.22,0.642,2
p270,0.205,0.626,2
p380,0.224,0.68,2
p285,0.206,0.616,2
p14,0.238,0.538,2
p64,0.223,0.56,2
p257,0.246,0.611,2
p82,0.231,0.532,2
p157,0.223,0.559,2
p2144,0.208,0.56,2
p336,0.23,0.671,2
p60,0.196,0.552,2
p2121,0.197,0.625,2
p2099,0.214,0.674,2
p419,0.234,0.703,2
p456,0.233,0.701,2
p108,0.248,0.544,2
p145,0.238,0.557,2
p5,0.224,0.548,2
p278,0.204,0.635,2
p406,0.234,0.721,2
p2076,0.232,0.733,2
p2102,0.229,0.633,2
p117,0.206,0.57,2
p198,0.223,0.608,2
p393,0.221,0.681,2
p147,0.24,0.603,2
p319,0.197,0.669,2
p231,0.222,0.615,2
p433,0.214,0.749,2
p7,0.216,0.525,2
p346,0.23,0.653,2
p212,0.219,0.603,2
p2120,0.224,0.602,2
p223,0.242,0.595,2
p53,0.21,0.553,2
p377,0.233,0.659,2
p201,0.212,0.602,2
p226,0.236,0.609,2
p192,0.24,0.591,2
p11,0.216,0.575,2
p2148,0.203,0.577,2
p299,0.224,0.63,2
p2032,0.23,0.743,2
p6,0.232,0.553,2
p387,0.234,0.696,2
p353,0.223,0.683,2
p2104,0.212,0.651,2
p2129,0.236,0.603,2
p2138,0.221,0.566,2
p375,0.21,0.682,2
p413,0.233,0.729,2
p206,0.218,0.63,2
p282,0.237,0.646,2
p330,0.191,0.649,2
p440,0.246,0.728,2
p228,0.213,0.62,2
p281,0.224,0.656,2
p2106,0.233,0.624,2
p2119,0.224,0.606,2
p218,0.221,0.599,2
p191,0.218,0.61,2
p2117,0.214,0.593,2
p409,0.23,0.71,2
p256,0.222,0.655,2
p193,0.229,0.612,2
p86,0.234,0.539,2
p2130,0.223,0.577,2
p87,0.227,0.536,2
p44,0.213,0.556,2
p246,0.249,0.641,2
p404,0.232,0.692,2
p242,0.228,0.612,2
p274,0.209,0.629,2
p195,0.228,0.615,2
p81,0.241,0.567,2
p2139,0.208,0.544,2
p271,0.212,0.629,2
p148,0.231,0.591,2
p116,0.26,0.6,2
p91,0.234,0.589,2
p4,0.215,0.538,2
p67,0.219,0.551,2
p133,0.212,0.56,2
p2136,0.222,0.567,2
p312,0.21,0.649,2
p273,0.245,0.618,2
p123,0.229,0.546,2
p137,0.221,0.584,2
p211,0.218,0.6,2
p311,0.225,0.666,2
p421,0.214,0.748,2
p161,0.243,0.587,2
p240,0.218,0.623,2
p175,0.221,0.616,2
p2061,0.248,0.704,2
p258,0.225,0.626,2
p2089,0.219,0.696,2
p160,0.213,0.595,2
p1,0.228,0.559,2
p343,0.24,0.699,2
p2145,0.204,0.551,2
p428,0.217,0.708,2
p162,0.236,0.61,2
p2146,0.241,0.569,2
p2163,0.226,0.561,2
p100,0.242,0.584,2
p422,0.209,0.743,2
p103,0.231,0.58,2
p130,0.231,0.581,2
p447,0.239,0.739,2
p135,0.227,0.578,2
p112,0.229,0.571,2
p172,0.23,0.582,2
p35,0.238,0.542,2
p374,0.239,0.683,2
p24,0.222,0.557,2
p2161,0.22,0.543,2
p344,0.186,0.685,2
p429,0.232,0.72,2
p2068,0.232,0.686,2
p45,0.226,0.532,2
p292,0.208,0.613,2
p9,0.206,0.554,2
p2155,0.215,0.542,2
p359,0.236,0.71,2
p329,0.218,0.664,2
p495,0.253,0.726,2
p51,0.222,0.535,2
p71,0.235,0.561,2
p120,0.22,0.562,2
p138,0.211,0.579,2
p2123,0.23,0.593,2
p280,0.203,0.634,2
p307,0.249,0.68,2
p2098,0.23,0.679,2
p142,0.216,0.578,2
p174,0.223,0.638,2
p57,0.241,0.565,2
p140,0.23,0.569,2
p243,0.189,0.637,2
p2118,0.215,0.654,2
p2051,0.249,0.704,2
p2132,0.218,0.565,2
p230,0.222,0.58,2
p2100,0.257,0.651,2
p309,0.219,0.653,2
p85,0.23,0.587,2
p410,0.219,0.709,2
p397,0.239,0.681,2
p221,0.231,0.638,2
p79,0.219,0.564,2
p423,0.232,0.728,2
p95,0.213,0.594,2
p207,0.208,0.641,2
p361,0.224,0.687,2
p139,0.215,0.61,2
p32,0.23,0.547,2
p97,0.25,0.579,2
p224,0.261,0.642,2
p233,0.221,0.608,2
p2079,0.253,0.687,2
p49,0.258,0.554,2
p263,0.226,0.634,2
p260,0.224,0.636,2
p3940,0.812,0.716,3
p3957,0.83,0.726,3
p3981,0.855,0.442,3
p3047,0.824,0.64,3
p3050,0.811,0.666,3
p3011,0.845,0.539,3
p3977,0.82,0.542,3
p3872,0.809,0.525,3
p3032,0.852,0.605,3
p3227,0.838,0.437,3
p3156,0.832,0.622,3
p3212,0.844,0.473,3
p3162,0.823,0.555,3
p3855,0.817,0.525,3
p3179,0.826,0.558,3
p4760,0.84,0.623,3
p3029,0.839,0.61,3
p3145,0.825,0.621,3
p3217,0.83,0.44,3
p3941,0.841,0.725,3
p4714,0.834,0.48,3
p3088,0.826,0.664,3
p3197,0.817,0.501,3
p3204,0.813,0.456,3
p3205,0.842,0.494,3
p3854,0.835,0.518,3
p3150,0.836,0.623,3
p3863,0.824,0.561,3
p3889,0.834,0.643,3
p2985,0.838,0.459,3
p3160,0.829,0.602,3
p2977,0.795,0.454,3
p3140,0.823,0.603,3
p3100,0.839,0.749,3
p3103,0.817,0.679,3
p4764,0.832,0.595,3
p3123,0.843,0.697,3
p3085,0.844,0.69,3
p4724,0.835,0.507,3
p3911,0.852,0.651,3
p3097,0.844,0.691,3
p3090,0.824,0.699,3
p3917,0.81,0.639,3
p3020,0.85,0.582,3
p3879,0.829,0.61,3
p3152,0.826,0.58,3
p4755,0.833,0.623,3
p3840,0.842,0.484,3
p2982,0.821,0.473,3
p3901,0.831,0.649,3
p4752,0.817,0.6,3
p3053,0.827,0.641,3
p3016,0.839,0.586,3
p4727,0.836,0.512,3
p3912,0.823,0.68,3
p4748,0.832,0.58,3
p3141,0.819,0.629,3
p3149,0.812,0.59,3
p3206,0.819,0.493,3
p3838,0.835,0.464,3
p3063,0.852,0.697,3
p3171,0.831,0.57,3
p3203,0.82,0.466,3
p3902,0.811,0.663,3
p4792,0.827,0.679,3
p3173,0.831,0.582,3
p3896,0.859,0.663,3
p3146,0.833,0.644,3
p4756,0.831,0.634,3
p3052,0.817,0.651,3
p3062,0.838,0.686,3
p4742,0.844,0.619,3
p4775,0.829,0.657,3
p3001,0.859,0.524,3
p4713,0.845,0.473,3
p3009,0.84,0.547,3
p3211,0.846,0.453,3
p3833,0.85,0.472,3
p3106,0.828,0.728,3
p3881,0.826,0.631,3
p3849,0.829,0.494,3
p4735,0.826,0.557,3
p3907,0.84,0.643,3
p3214,0.824,0.482,3
p3000,0.832,0.552,3
p3081,0.826,0.663,3
p3953,0.802,0.678,3
p3983,0.845,0.452,3
p3927,0.8,0.724,3
p3137,0.844,0.67,3
p3897,0.816,0.654,3
p3169,0.83,0.589,3
p3851,0.844,0.47,3
p3202,0.838,0.491,3
p4790,0.819,0.667,3
p3027,0.85,0.616,3
p3883,0.823,0.597,3
p3944,0.835,0.713,3
p4765,0.828,0.616,3
p3841,0.837,0.482,3
p2989,0.847,0.5,3
p4707,0.809,0.47,3
p3827,0.839,0.437,3
p2980,0.847,0.457,3
p4791,0.815,0.675,3
p3174,0.818,0.571,3
p4798,0.829,0.674,3
p3061,0.847,0.673,3
p3952,0.823,0.709,3
p3155,0.832,0.624,3
p3885,0.829,0.636,3
p2988,0.828,0.491,3
p4800,0.838,0.683,3
p3192,0.851,0.5,3
